Pavg,iid,tmstp
219.60643666666672,42,2013-08-14
263.58332333333334,42,2013-08-14
254.48791,42,2013-08-14
230.04433333333333,42,2013-08-14
224.3504,42,2013-08-14
225.4655966666667,42,2013-08-14
247.39578333333333,42,2013-08-14
267.71442833333333,42,2013-08-14
249.62645333333333,42,2013-08-14
224.81433333333334,42,2013-08-14
226.3427066666667,42,2013-08-14
230.78401000000002,42,2013-08-14
263.5183633333333,42,2013-08-14
268.98310333333336,42,2013-08-14
238.7844916666667,42,2013-08-14
230.90206666666663,42,2013-08-14
230.73445833333332,42,2013-08-14
232.35330000000002,42,2013-08-15
267.3301716666667,42,2013-08-15
269.65042666666665,42,2013-08-15
231.55879666666667,42,2013-08-15
225.43485,42,2013-08-15
224.9268366666667,42,2013-08-15
251.4101483333333,42,2013-08-15
266.6585666666667,42,2013-08-15
245.16061833333333,42,2013-08-15
225.797225,42,2013-08-15
227.51484166666668,42,2013-08-15
236.59100666666666,42,2013-08-15
270.34037333333333,42,2013-08-15
267.4299483333333,42,2013-08-15
230.70464,42,2013-08-15
228.52444999999997,42,2013-08-15
229.3407083333333,42,2013-08-15
267.70656333333335,42,2013-08-15
276.5542516666667,42,2013-08-15
217.356165,42,2013-08-15
346.0244466666666,42,2013-08-15
328.85228333333333,42,2013-08-15
237.90191000000004,42,2013-08-15
249.95207333333335,42,2013-08-15
277.72369499999996,42,2013-08-16
262.8067383333333,42,2013-08-16
234.86663333333328,42,2013-08-16
233.264295,42,2013-08-16
232.75201666666672,42,2013-08-16
241.93968333333333,42,2013-08-16
265.4961333333334,42,2013-08-16
263.54385833333333,42,2013-08-16
236.43927166666666,42,2013-08-16
229.708155,42,2013-08-16
232.04626,42,2013-08-16
232.52265,42,2013-08-16
267.51,42,2013-08-16
269.6756833333333,42,2013-08-16
177.38926166666664,42,2013-08-16
231.31051166666666,42,2013-08-16
231.3832066666667,42,2013-08-16
236.72580166666665,42,2013-08-16
268.2040666666667,42,2013-08-16
269.23834999999997,42,2013-08-16
239.22620833333335,42,2013-08-16
232.3393233333333,42,2013-08-16
232.1503316666667,42,2013-08-16
240.79106166666665,42,2013-08-16
268.31573333333336,42,2013-08-17
157.03376923076922,42,2013-08-17
351.0896724137932,42,2013-08-17
316.2741083333333,42,2013-08-17
332.5684666666667,42,2013-08-17
239.26425,42,2013-08-17
290.27785166666666,42,2013-08-17
269.4323133333333,42,2013-08-17
235.25017833333334,42,2013-08-17
234.89400500000002,42,2013-08-17
235.4416833333333,42,2013-08-17
257.0330333333333,42,2013-08-17
273.3218166666666,42,2013-08-17
261.98115333333334,42,2013-08-17
236.99345666666662,42,2013-08-17
236.36357666666666,42,2013-08-17
236.63746166666667,42,2013-08-17
244.97573999999997,42,2013-08-17
271.1831,42,2013-08-17
275.45515,42,2013-08-17
242.70729166666663,42,2013-08-17
237.432335,42,2013-08-17
236.884305,42,2013-08-17
236.3772416666667,42,2013-08-17
259.8587933333334,42,2013-08-18
271.8288833333333,42,2013-08-18
257.42356666666666,42,2013-08-18
235.2252833333333,42,2013-08-18
235.88686166666668,42,2013-08-18
236.63417,42,2013-08-18
251.57431833333334,42,2013-08-18
272.0717716666667,42,2013-08-18
264.65206666666666,42,2013-08-18
235.23767,42,2013-08-18
236.15743333333333,42,2013-08-18
238.32189000000002,42,2013-08-18
259.28224,42,2013-08-18
274.5623583333334,42,2013-08-18
269.97723666666667,42,2013-08-18
241.00374,42,2013-08-18
235.99803,42,2013-08-18
238.63408333333334,42,2013-08-18
244.6767166666667,42,2013-08-18
270.961135,42,2013-08-18
273.2682766666667,42,2013-08-18
239.69392166666665,42,2013-08-18
235.58313833333335,42,2013-08-18
234.3639766666667,42,2013-08-18
235.101755,42,2013-08-19
270.88048333333336,42,2013-08-19
269.86341666666664,42,2013-08-19
244.17481333333333,42,2013-08-19
233.7069616666667,42,2013-08-19
232.24041500000004,42,2013-08-19
229.16310499999997,42,2013-08-19
